Date,Time,average_temp,average_humidity
2020-10-25, 11:00:01,35.76666666666667,48.6
2020-10-25, 11:00:31,35.833333333333336,49.833333333333336
2020-10-25, 12:00:31,38.8,42.266666666666666
2020-10-25, 13:00:31,33.86666666666667,59.25
2020-10-25, 14:00:32,37.55,48.18333333333334
2020-10-25, 15:00:31,36.0,50.13333333333334
2020-10-25, 16:00:31,32.233333333333334,59.78333333333333
2020-10-25, 17:00:32,28.46666666666667,80.06666666666666
2020-10-25, 18:00:31,25.549999999999997,94.23333333333333
2020-10-25, 19:00:31,24.400000000000002,95.66666666666667
2020-10-25, 20:00:31,24.150000000000002,95.65
2020-10-25, 21:00:01,23.566666666666666,96.53333333333335
2020-10-25, 22:00:31,23.416666666666668,96.63333333333333
2020-10-25, 23:00:31,23.0,96.63333333333333
2020-10-26, 00:00:31,22.733333333333334,96.63333333333333
