average_internal_temp,average_internal_humidity,light
23.2,96.63333333333333, 1.042
22.100000000000005,96.3, 197.083
22.73333333333333,96.63333333333333, 902.083
24.400000000000002,96.63333333333333, 8409.17
32.36666666666667,68.06666666666666, 10879.6
36.099999999999994,56.699999999999996, 19401.2
35.233333333333334,58.699999999999996, 27306.2
33.166666666666664,67.7, 6485.83
36.199999999999996,62.6, 22235
30.099999999999998,89.0, 4916.25
32.86666666666667,67.60000000000001, 3200.42
31.46666666666667,71.26666666666667, 3737.5
24.900000000000002,96.63333333333333, 562.917
23.433333333333334,96.63333333333333, 3.333
23.066666666666666,96.63333333333333, 1.042
22.566666666666666,96.63333333333333, 1.042
22.400000000000002,96.63333333333333, 1.042
22.5,96.63333333333333, 1.042
22.933333333333334,96.63333333333333, 1.042
22.7,96.63333333333333, 1.042
21.833333333333332,96.3, 1.042
21.400000000000002,95.96666666666665, 1.042
21.3,95.96666666666665, 1.042
21.03333333333333,95.63333333333333, 1.042
20.833333333333332,95.63333333333333, 1.042
20.866666666666667,95.63333333333333, 75.833
22.2,96.63333333333333, 1798.75
30.46666666666667,88.76666666666667, 7245
27.3,96.63333333333333, 4379.17
26.566666666666663,96.63333333333333, 7337.92
33.06666666666667,82.23333333333333, 20555
30.266666666666666,91.46666666666665, 6653.75
31.96666666666667,76.76666666666667, 10443.3
30.600000000000005,88.3, 5572.92
30.266666666666666,94.10000000000001, 6328.33
26.733333333333334,96.63333333333333, 2645.83
24.633333333333336,96.63333333333333, 813.75
23.833333333333332,96.63333333333333, 2.5
23.333333333333332,96.63333333333333, 1.042
23.03333333333333,96.63333333333333, 1.042
22.900000000000002,96.63333333333333, 1.042
22.7,96.63333333333333, 1.042
22.23333333333333,96.3, 1.042
22.166666666666668,96.3, 1.042
22.066666666666666,96.3, 1.042
22.2,96.3, 1.042
21.96666666666667,96.3, 1.042
21.866666666666664,96.3, 1.042
21.433333333333337,95.96666666666665, 1.042
21.53333333333333,96.3, 121.25
22.833333333333332,96.63333333333333, 1530.42
32.13333333333333,77.86666666666666, 7445
31.100000000000005,72.76666666666667, 5757.08
34.06666666666667,62.56666666666666, 15834.6
31.100000000000005,77.0, 11426.2
29.900000000000002,87.73333333333333, 6537.08
31.26666666666667,77.76666666666667, 3657.5
32.6,77.89999999999999, 9066.67
26.46666666666667,96.63333333333333, 3735.42
32.233333333333334,81.10000000000001, 6901.67
25.433333333333337,96.63333333333333, 632.083
23.76666666666667,96.63333333333333, 2.083
